entity,Code,year,life_expectancy
Japan,JPN,2018,84.289
Japan,JPN,2019,84.4177
Japan,JPN,2020,84.6703
Japan,JPN,2021,84.55
Japan,JPN,2022,84.0541
Japan,JPN,2023,84.7123
World,OWID_WRL,1950,46.3944
World,OWID_WRL,1951,47.1259
World,OWID_WRL,1952,48.2183
World,OWID_WRL,1953,48.809
World,OWID_WRL,1954,49.6514
World,OWID_WRL,1955,50.2055
World,OWID_WRL,1956,50.7373
World,OWID_WRL,1957,51.0636
World,OWID_WRL,1958,51.6151
World,OWID_WRL,1959,49.5818
World,OWID_WRL,1960,47.8198
World,OWID_WRL,1961,50.3459
World,OWID_WRL,1962,53.2416
World,OWID_WRL,1963,53.7161
World,OWID_WRL,1964,54.2603
World,OWID_WRL,1965,53.9975
World,OWID_WRL,1966,54.5644
World,OWID_WRL,1967,55.0678
World,OWID_WRL,1968,55.6181
World,OWID_WRL,1969,55.9999
World,OWID_WRL,1970,56.2664
World,OWID_WRL,1971,56.0193
World,OWID_WRL,1972,57.2155
World,OWID_WRL,1973,57.6923
World,OWID_WRL,1974,58.0614
World,OWID_WRL,1975,58.2681
World,OWID_WRL,1976,58.5754
World,OWID_WRL,1977,59.1539
World,OWID_WRL,1978,59.5129
World,OWID_WRL,1979,60.1571
World,OWID_WRL,1980,60.502
World,OWID_WRL,1981,60.9187
World,OWID_WRL,1982,61.3435
World,OWID_WRL,1983,61.5211
World,OWID_WRL,1984,61.8663
World,OWID_WRL,1985,62.2092
World,OWID_WRL,1986,62.7297
World,OWID_WRL,1987,63.1809
World,OWID_WRL,1988,63.3672
World,OWID_WRL,1989,63.7817
World,OWID_WRL,1990,63.955
World,OWID_WRL,1991,64.0642
World,OWID_WRL,1992,64.2879
World,OWID_WRL,1993,64.4334
World,OWID_WRL,1994,64.2995
World,OWID_WRL,1995,64.8817
World,OWID_WRL,1996,65.1995
World,OWID_WRL,1997,65.5406
World,OWID_WRL,1998,65.7408
World,OWID_WRL,1999,66.0412
World,OWID_WRL,2000,66.4333
World,OWID_WRL,2001,66.7531
World,OWID_WRL,2002,67.068
World,OWID_WRL,2003,67.4015
World,OWID_WRL,2004,67.7449
World,OWID_WRL,2005,68.1405
World,OWID_WRL,2006,68.6137
World,OWID_WRL,2007,69.0316
World,OWID_WRL,2008,69.3017
World,OWID_WRL,2009,69.6812
World,OWID_WRL,2010,70.089
World,OWID_WRL,2011,70.4033
World,OWID_WRL,2012,70.824
World,OWID_WRL,2013,71.1417
World,OWID_WRL,2014,71.4038
World,OWID_WRL,2015,71.606
World,OWID_WRL,2016,71.8768
World,OWID_WRL,2017,72.067
World,OWID_WRL,2018,72.3885
World,OWID_WRL,2019,72.6093
World,OWID_WRL,2020,71.9166
World,OWID_WRL,2021,70.865
World,OWID_WRL,2022,72.6398
World,OWID_WRL,2023,73.1694
